Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Belgien;Solar;415260.01556362567;465100.2969880589;518886.45651602646;576888.4812543206;639393.4923251541;706706.7832999353;775102.8888488229;848571.8379943495;927449.9248323067;1012094.3907590738;1102884.6784664367;1188310.7029148932;1279522.118112029;1376883.898071591;1480783.0507318294;1591629.908912913;1709859.4952852752;1835932.9655225908;1970339.1340454253;2113596.0870067365;2266252.8874290655
Belgien;Wind;7848146.621911261;8790095.814311514;9284879.873742947;9831199.800170982;10377519.726599015;10923839.65302705;11410537.779521719;11897235.906016389;12383934.032511057;12870632.159005728;13357330.285500396;13706616.79583963;14055903.306178864;14405189.8165181;14754476.326857334;15103762.837196568;15453049.347535802;15802335.857875036;16151622.36821427;16500908.878553506;16850195.38889274
Kroatien;Biomass;4192.7644008834395;4695.987802738652;5239.051633777176;5824.681878412707;6455.77751842735;7135.421017747423;7825.9973934074205;8567.79285408905;9364.202867355323;10218.834399812999;11135.518578348056;11998.041288920962;12918.977474105292;13902.01217458575;14951.052901428995;16070.242670520094;17263.97378426673;18536.902402711738;19893.963948540575;21340.38939294552;22881.722471919602
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;1170.47221684113;1283.7522124162251;1405.4340270067269;1536.0746425252385;1676.2657345280843;1826.6357491249018;1968.1212853825507;2119.188785893152;2280.4427332413575;2452.5241033596503;2636.112503656669;2831.9284337249906;3040.735675541002;3263.343820454303;3500.6109406700807;3753.446413356301
Kroatien;Hydro;1669182.9741415929;1869521.427308517;2085720.7683567794;2318866.2399415965;2341924.963225869;2465214.564914618;2575049.1421567737;2684883.7193989283;2794718.296641084;2904552.873883239;3014387.451125394;3093211.950565742;3172036.4500060896;3250860.9494464374;3329685.4488867857;3408509.9483271334;3487334.447767481;3566158.9472078294;3644983.4466481777;3723807.946088525;3802632.4455288732
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatien;Solar;0.0;0.0;0.0;0.0;0.0;2597.7728285940734;2849.189043600381;3119.2524480358343;3409.199220305832;3720.3425386827403;4054.0771908465745;4368.093428430682;4703.376096796083;5061.266798426951;5443.188129978913;5850.648427690004;6285.246784847256;6748.6783566510085;7242.7399686730205;7769.336046005603;8330.484881149761
Kroatien;Wind;214591.08590686135;240346.70819632302;268141.41499996366;298114.7257134776;330415.013960843;365200.04421866126;400544.63317846035;438510.68092369265;479271.97186050203;523013.11518868315;569930.1929200311;614075.2169147423;661209.9178266242;711522.9007874078;719690.3624880719;736727.7774168997;753765.1923457277;770802.6072745556;787840.0222033836;804877.4371322114;821914.8520610394
Zypern;Biomass;0.0;0.0;0.0;0.0;0.0;8029.662878404837;8806.78527588475;9641.54575591664;10537.765320762008;11499.502977702121;12531.069987034343;13501.687778702477;14538.03967456984;15644.272540577183;16824.783593998836;18084.235071411214;19427.56973757983;20860.027282686777;22387.161657960474;24014.859402554815;25749.359017463696
Zypern;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Hydro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Solar;0.0;0.0;0.0;0.0;0.0;41720.28341290188;45758.03283779637;50095.25649664804;54751.80743929039;59748.77533495535;65108.560501588596;70151.66753699184;75536.3138746814;81284.04567729746;87417.70987548842;93961.53037930524;100941.18865881501;108383.90894032747;116318.54827834417;124775.69177781172;133787.75325653015
Zypern;Wind;598393.3628963672;612243.1590535439;650519.5615302441;688795.9640069444;727072.3664836448;765348.7689603452;799447.9340707358;833547.0991811265;867646.2642915171;901745.4294019078;935844.5945122984;960316.392817074;984788.1911218497;1009259.9894266252;1033731.7877314008;1058203.5860361764;1082675.384340952;1107147.1826457276;1131618.9809505034;1156090.7792552789;1180562.5775600544
Tschechien;Biomass;3093008.670449173;3464237.3387671793;3864856.3522408623;4296876.673714995;4762436.886455941;5263810.928786693;5773250.17060855;6320473.809290626;6907986.68641439;7538449.666727303;8214688.978355469;8850973.292756539;9530349.316151826;9679287.150396718;9913983.428224083;10148679.706051446;10383375.983878814;10618072.261706179;10852768.539533542;11087464.81736091;11322161.095188273
Tschechien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tschechien;Hydro;3274301.98419041;3667289.814090508;4091390.672020141;4548733.39120751;5041581.905633566;5572343.43802421;6111642.902735871;6690941.455323639;7312890.755913342;7980307.632923707;8696183.970745327;9369763.39296211;10088960.297473706;10856652.483954059;11675891.488338765;12549912.761952052;12392254.678017233;12672357.801638585;12952460.92525994;13232564.048881292;13512667.172502646
Tschechien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
