Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Kroatien;Hydro;16691829.741415927;18695214.27308517;20857207.683567796;23188662.399415966;23419249.632258687;24652145.649146184;25750491.421567734;26848837.19398928;27947182.966410838;29045528.73883239;30143874.51125394;30932119.505657423;31720364.500060897;32508609.49446438;33296854.48886786;34085099.48327133;34873344.47767481;35661589.47207829;36449834.466481775;37238079.46088525;38026324.45528873
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatien;Solar;0.0;0.0;0.0;0.0;0.0;25977.72828594073;28491.89043600381;31192.524480358345;34091.992203058326;37203.4253868274;40540.771908465744;43680.93428430682;47033.760967960836;50612.667984269516;54431.88129978914;58506.48427690004;62852.46784847257;67486.78356651009;72427.39968673019;77693.36046005602;83304.84881149762
Kroatien;Wind;2145910.8590686135;2403467.08196323;2681414.1499996367;2981147.2571347756;3304150.13960843;3652000.442186613;4005446.3317846037;4385106.809236927;4792719.718605021;5230131.151886832;5699301.929200312;6140752.169147423;6612099.178266243;7115229.007874077;7196903.624880719;7367277.774168997;7537651.923457277;7708026.072745556;7878400.222033835;8048774.371322114;8219148.520610393
Zypern;Biomass;0.0;0.0;0.0;0.0;0.0;80296.62878404839;88067.85275884748;96415.4575591664;105377.65320762007;114995.02977702122;125310.69987034341;135016.87778702477;145380.39674569838;156442.72540577184;168247.83593998838;180842.35071411214;194275.69737579828;208600.2728268678;223871.61657960474;240148.59402554817;257493.59017463695
Zypern;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Hydro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Solar;0.0;0.0;0.0;0.0;0.0;417202.83412901877;457580.3283779636;500952.5649664804;547518.0743929038;597487.7533495534;651085.605015886;701516.6753699183;755363.138746814;812840.4567729746;874177.0987548843;939615.3037930523;1009411.88658815;1083839.0894032747;1163185.4827834417;1247756.9177781171;1337877.5325653015
Zypern;Wind;5983933.6289636735;6122431.590535439;6505195.615302442;6887959.640069445;7270723.664836449;7653487.689603452;7994479.340707359;8335470.991811264;8676462.642915173;9017454.294019079;9358445.945122983;9603163.928170739;9847881.911218498;10092599.894266251;10337317.877314009;10582035.860361764;10826753.843409518;11071471.826457277;11316189.809505032;11560907.79255279;11805625.775600545
