Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Belgien;Solar;166104.00622545026;186040.11879522356;207554.58260641058;230755.39250172823;255757.3969300617;282682.7133199741;310041.1555395292;339428.7351977398;370979.96993292274;404837.75630362955;441153.87138657476;475324.2811659573;511808.8472448117;550753.5592286366;592313.2202927318;636651.9635651653;683943.79811411;734373.1862090363;788135.6536181701;845438.4348026947;906501.1549716262
Belgien;Wind;3139258.6487645046;3516038.3257246055;3713951.949497179;3932479.920068393;4151007.8906396064;4369535.86121082;4564215.111808687;4758894.362406556;4953573.613004424;5148252.863602291;5342932.114200159;5482646.718335853;5622361.322471546;5762075.92660724;5901790.530742934;6041505.134878627;6181219.739014321;6320934.343150015;6460648.947285708;6600363.551421403;6740078.155557096
Kroatien;Biomass;1677.105760353376;1878.395121095461;2095.6206535108704;2329.8727513650833;2582.3110073709395;2854.1684070989695;3130.3989573629683;3427.1171416356196;3745.681146942129;4087.5337599252;4454.207431339222;4799.216515568385;5167.590989642117;5560.804869834301;5980.421160571597;6428.097068208038;6905.589513706693;7414.760961084696;7957.58557941623;8536.155757178209;9152.68898876784
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;468.188886736452;513.50088496649;562.1736108026907;614.4298570100955;670.5062938112337;730.6542996499608;787.2485141530203;847.6755143572608;912.1770932965429;981.0096413438603;1054.4450014626677;1132.7713734899962;1216.294270216401;1305.3375281817212;1400.2443762680323;1501.3785653425205
Kroatien;Hydro;667673.1896566371;747808.5709234069;834288.307342712;927546.4959766387;936769.9852903476;986085.8259658474;1030019.6568627096;1073953.4877595713;1117887.3186564336;1161821.1495532957;1205754.9804501575;1237284.7802262967;1268814.580002436;1300344.3797785752;1331874.1795547144;1363403.9793308533;1394933.7791069928;1426463.578883132;1457993.378659271;1489523.1784354101;1521052.9782115493
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatien;Solar;0.0;0.0;0.0;0.0;0.0;1039.1091314376292;1139.6756174401526;1247.7009792143338;1363.679688122333;1488.137015473096;1621.63087633863;1747.2373713722732;1881.3504387184337;2024.5067193707805;2177.2752519915653;2340.2593710760016;2514.098713938902;2699.4713426604035;2897.095987469208;3107.734418402241;3332.1939524599047
Kroatien;Wind;85836.43436274453;96138.68327852922;107256.56599998547;119245.89028539104;132166.00558433722;146080.01768746454;160217.85327138414;175404.27236947708;191708.78874420084;209205.24607547326;227972.07716801247;245630.0867658969;264483.9671306498;284609.1603149631;287876.14499522874;294691.11096675985;301506.0769382911;308321.04290982225;315136.0088813535;321950.9748528846;328765.94082441577
Zypern;Biomass;0.0;0.0;0.0;0.0;0.0;3211.8651513619347;3522.7141103538993;3856.6183023666563;4215.106128304804;4599.801191080848;5012.427994813737;5400.675111480991;5815.215869827937;6257.709016230874;6729.913437599535;7233.694028564487;7771.027895031932;8344.010913074711;8954.86466318419;9605.943761021927;10299.743606985478
Zypern;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Hydro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Solar;0.0;0.0;0.0;0.0;0.0;16688.113365160752;18303.21313511854;20038.102598659214;21900.72297571616;23899.510133982145;26043.424200635443;28060.667014796734;30214.52554987256;32513.61827091898;34967.083950195374;37584.612151722096;40376.475463526;43353.56357613099;46527.41931133767;49910.276711124694;53515.10130261206
