Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Finnland;Hydro;14491986.97;14901017.04;15832603.32;16764189.59;17695775.87;18627362.15;19457281.17;20287200.18;21117119.2;21947038.21;22776957.23;23372561.57;23968165.91;24563770.26;25159374.6;25754978.94;26350583.28;26946187.62;27541791.96;28137396.3;28733000.64
Finnland;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Finnland;Solar;1487.584682;1666.12737;1858.805364;2066.58584;2290.49735;2531.633546;2776.648705;3039.836297;3322.401026;3625.622637;3950.860407;4256.881792;4583.628166;4932.406972;5304.604588;5701.690949;6125.224434;6576.857041;7058.339847;7571.528791;8118.390779
Finnland;Wind;5034625;5121014.638;5441171.775;5761328.913;6081486.051;6401643.188;6686860.46;6972077.733;7257295.005;7542512.277;7827729.549;8032420.178;8237110.807;8441801.436;8646492.065;8851182.694;9055873.323;9260563.952;9465254.581;9669945.21;9874635.839
Frankreich;Biomass;4156177.067;4655009.189;5193334.08;5773853.938;5841234.24;6148743.428;6422693.065;6696642.702;6970592.339;7244541.975;7518491.612;7715095.847;7911700.082;8108304.316;8304908.551;8501512.786;8698117.02;8894721.255;9091325.49;9287929.725;9484533.959
Frankreich;Geothermal;2624.152995;2939.108731;3278.999658;3645.531906;4040.51988;4465.892821;4898.108393;5362.38079;5860.835156;6395.729007;6969.460155;7509.292909;8085.685289;8700.943674;9357.513684;10057.98834;10805.11667;11601.81286;12451.16589;13356.44968;14321.13394
Frankreich;Hydro;112351964.2;125836656.5;140388938.1;156081856.1;172993093.7;179318820.7;187308148.3;195297476;203286803.6;211276131.2;219265458.9;224999124.6;230732790.3;236466456.1;242200121.8;247933787.6;253667453.3;259401119;265134784.8;270868450.5;276602116.2
Frankreich;Other RES;0;0;0;0;0;1517.97277;1664.884372;1822.692203;1992.118605;2173.930918;2368.944165;2552.435228;2748.353037;2957.481539;3180.652008;3418.745821;3672.697384;3943.49724;4232.195338;4539.904502;4867.804094
Frankreich;Solar;2783056.714;3117084.371;3477557.151;3866284.499;4285190.688;4736321.785;5194709.864;5687095.946;6215733.862;6783017.83;7391490.859;7964012.802;8575308.212;9227823.131;9924151.271;10667042.67;11459412.83;12304352.39;13205137.38;14165239.99;15188340.02
Frankreich;Wind;23383547.54;26190084.52;29218816.33;32484946.11;36004641.82;39795094.74;43646521.62;47783603.45;52225277.16;56991659.23;62104116.32;66914508.43;72050679.46;77533181.33;83383806.68;89625661.62;96283242.53;103382517.4;110951011.6;119017899;118543557.2
