Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Estland;Biomass;0;0;0;0;0;24458.09606;27371.86206;30515.85943;33905.82688;37558.50143;41491.67886;45576.84904;49966.80703;54681.81871;59743.41453;65174.46539;70999.2628;77243.60378;83934.88071;91102.17632;98776.36429
Estland;Geothermal;0;0;0;0;0;2384.312072;2718.115762;3079.339041;3469.889359;3891.79636;4347.219338;4929.74673;5559.658812;6240.237735;6974.975404;7767.586246;8622.020733;9542.479703;10533.42952;11599.61812;12746.092
Estland;Hydro;136067.1161;143035.4729;153947.7084;164859.9438;175772.1793;186684.4147;198975.8919;211267.369;223558.8461;235850.3232;248141.8003;259593.5626;271045.325;282497.0873;293948.8497;305400.612;316852.3743;328304.1367;339755.899;351207.6613;362659.4237
Estland;Other RES;0;0;0;0;0;2724.928082;3576.468108;4506.349816;5520.278525;6624.33423;7824.994809;10544.18051;13515.72228;16758.05779;20290.83754;24135.00012;28312.85187;32848.15128;37766.19852;43093.93009;48860.01933
Estland;Solar;0;0;0;0;0;2242.937262;2510.145075;2798.466326;3109.344339;3444.313987;3805.00724;4179.639034;4582.22149;5014.613094;5478.788304;5976.844502;6511.00935;7083.648571;7697.274191;8354.553251;9058.317032
Estland;Wind;3395296.549;3581621.211;3854864.577;4128107.942;4401351.307;4674594.672;4982374.374;5290154.075;5597933.777;5905713.478;6213493.179;6500246.347;6786999.514;7073752.681;7360505.849;7647259.016;7934012.183;8220765.351;8507518.518;8794271.685;9081024.853
Finnland;Biomass;6908964.552;7853564.465;8875351.957;9979684.288;10273552.83;10911352.45;11629766.13;12348179.82;13066593.51;13785007.2;14503420.88;15172754.82;15842088.77;16511422.71;17180756.65;17850090.59;18519424.53;19188758.47;19858092.41;20527426.35;21196760.29
Finnland;Geothermal;0;0;0;0;0;17352.46225;19781.80697;22410.705;25253.03832;28323.5782;31638.03948;35877.53677;40461.88869;45414.98196;50762.22984;56530.66505;62749.0382;69447.92201;76659.8216;84419.29135;92763.05852
Finnland;Hydro;14743214.6;15385354.64;16559109.71;17732864.79;18906619.86;20080374.94;21402485.67;22724596.41;24046707.15;25368817.88;26690928.62;27922716.94;29154505.26;30386293.57;31618081.89;32849870.21;34081658.53;35313446.85;36545235.17;37777023.49;39008811.81
Finnland;Other RES;0;0;0;0;0;19831.38543;26028.69338;32796.15366;40175.28823;48210.34587;56948.47106;76738.06476;98364.24665;121961.2016;147671.9413;175648.8521;206054.2741;239061.1162;274853.5067;313627.4836;355591.7243
Finnland;Solar;1513.372891;1720.282608;1944.099864;2185.99814;2447.225993;2729.111637;3054.238854;3405.056015;3783.319294;4190.896261;4629.772626;5085.608822;5575.454206;6101.570106;6666.358961;7272.372776;7922.322075;8619.085372;9365.719194;10165.46868;11021.77883
Finnland;Wind;5121903.366;5287466.358;5690849.356;6094232.354;6497615.351;6900998.349;7355366.559;7809734.768;8264102.978;8718471.187;9172839.396;9596166.609;10019493.82;10442821.04;10866148.25;11289475.46;11712802.67;12136129.89;12559457.1;12982784.31;13406111.53
Frankreich;Biomass;4228226.99;4806314.026;5431639.199;6107481.104;6240924.168;6628371.341;7064789.532;7501207.724;7937625.915;8374044.106;8810462.297;9217065.781;9623669.264;10030272.75;10436876.23;10843479.71;11250083.2;11656686.68;12063290.16;12469893.65;12876497.13
Frankreich;Geothermal;2669.644325;3034.640523;3429.46223;3856.179507;4316.994856;4814.251291;5387.787421;6006.641536;6673.911593;7392.892053;8167.08578;8971.197259;9835.302171;10763.38958;11759.69748;12828.72769;13975.26168;15204.37725;16521.46622;17932.25315;19442.8151
Frankreich;Hydro;114299655.6;129926808.4;146830927.4;165100641.2;184830249;193306444.8;206033922.6;218761400.4;231488878.1;244216355.9;256943833.7;268801810.5;280659787.4;292517764.2;304375741;316233717.8;328091694.7;339949671.5;351807648.3;363665625.2;375523602
Frankreich;Other RES;0;0;0;0;0;1636.381047;1831.328006;2041.678709;2268.486163;2512.870165;2776.021352;3049.341688;3343.054005;3658.5142;3997.162778;4360.52993;4750.240889;5168.02162;5615.704821;6095.236288;6608.681641
Frankreich;Solar;2831302.739;3218401.022;3637130.877;4089687.715;4578407.41;5105774.855;5714041.057;6370369.443;7078045.564;7840563.375;8661637.852;9514441.73;10430871.9;11415158.98;12471797.6;13605562.17;14821523.71;16125067.5;17521911.86;19018127.98;20620160.94
Frankreich;Wind;23788915.92;27041358.13;30559572.27;34362004.42;38468280.86;42899279.93;48009999.23;53524542.26;59470514.6;65877272.81;72776030.56;79941382.21;87641328.95;95911416.9;104789410.3;114315424.6;124532066.7;135484584.5;147221023.9;159792395.7;160938405.6
Deutschland;Biomass;1592524.353;1810255.73;2045778.934;2300328.819;2575219.244;2871847.891;3213979.704;3583145.08;3981192.043;4410085.84;4871916.037;5351593.086;5867058.051;6420690.529;7015018.61;7652727.772;8336670.305;9069875.271;9855559.058;10697136.54;11598232.86
Deutschland;Geothermal;0;0;0;0;0;31131.90461;34840.74135;38842.63201;43157.60988;47806.97896;52813.39092;58013.26944;63601.10233;69602.68533;76045.42389;82958.42958;90372.62228;98320.83818;106837.9441;115960.9585;125729.1796
Deutschland;Hydro;18194102.46;20681616.68;23372397.07;26280551.46;29421090.29;32809981.63;36718732.7;40936333.92;45483898.44;50383878.57;55660146.97;61140310.19;60843399.71;63414055.2;65984710.69;68555366.18;71126021.67;73696677.17;76267332.66;78837988.15;81408643.64
Deutschland;Other RES;0;0;0;0;0;164082.9307;215358.8466;271352.1467;332406.3797;398887.6556;471186.0432;634923.1932;813856.0932;1009094.975;1221823.105;1453301.31;1704872.779;1977968.14;2274110.856;2594922.924;2942130.92
Deutschland;Solar;12991.81434;14768.067;16689.46539;18766.08346;21008.63967;23428.53629;26219.64777;29231.29905;32478.56635;35977.48212;39745.09306;43658.29863;47863.46202;52379.99601;57228.52474;62430.95635;68010.55982;73992.04624;80401.6549;87267.24431;94618.38852
Deutschland;Wind;86705.99592;98560.51848;111383.7283;125242.8578;140209.441;156359.5753;174987.1583;195086.6007;216758.5195;240109.9136;265254.5508;291370.8713;319435.6874;349578.5579;381937.1263;416657.6051;453895.2889;493815.0972;536592.148;582412.3662;631473.1258
Griechenland;Biomass;0;0;0;0;0;167871.7283;187870.7885;209450.0754;232717.614;257788.2813;284784.2213;312823.3858;342954.5062;375316.6801;410057.6852;447334.499;487313.8501;530172.8;576099.3602;625293.1445;677966.0589
Griechenland;Geothermal;0;0;0;0;0;12830.1435;14626.36359;16570.13034;18671.70784;20942.01777;23392.67943;26527.29847;29916.89772;33579.13865;37532.81142;41797.90363;46395.67303;51348.72461;56681.09216;62418.32466;68587.57768
Griechenland;Hydro;0;0;0;0;0;893444.8262;999883.5758;1114732.588;1238566.793;1371997.587;1515675.043;1664904.736;1825268.21;1997505.77;2182403.916;2380798.111;2593575.717;2821679.087;3066108.855;3327927.403;3608262.533
Griechenland;Other RES;0;0;0;0;0;14663.02115;19245.21526;24248.97122;29704.98975;35645.9877;42106.82297;56738.94395;72729.00997;90176.23523;109186.3605;129872.0577;152353.3587;176758.1097;203222.4524;231891.3341;262919.0478
